18	1	At1g36310	23.2			
At1g01040	117	3	18	19	0.005823	1
At1g06520	122	0	20	19	0.005245	1
At1g06530	108	1	17	15	0.005163	1
At1g10900	122	7	22	11	0.004948	1
At1g10980	123	0	8	13	0.003641	1
At1g11050	132	0	17	25	0.006133	1
At1g15240	120	0	20	14	0.004383	1
At1g19800	152	0	21	23	0.005154	1
At1g23200	136	5	4	20	0.005738	1
At1g36310	125	26	20	51	0.012748	1
At1g36370	120	6	21	22	0.007294	1
At1g36730	119	0	24	34	0.008805	1
At1g62310	136	1	18	23	0.00567	1
At1g62390	125	6	15	15	0.006132	1
At1g62520	134	6	18	33	0.00978	1
At1g64170	130	9	16	24	0.008247	1
At1g68520	117	0	4	21	0.006296	1
At1g68530	132	0	18	16	0.004359	1
